Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.014344,0.015103,0.011280,0.013317,0.013317,18959723
2021-01-02,0.013319,0.013319,0.009608,0.011801,0.011801,17192004
2021-01-03,0.011810,0.012297,0.010244,0.011991,0.011991,16912890
2021-01-04,0.011973,0.014699,0.011584,0.012696,0.012696,14062222
2021-01-05,0.012694,0.013408,0.011747,0.012565,0.012565,13571275
2021-01-06,0.012557,0.012936,0.011783,0.012521,0.012521,13289787
2021-01-07,0.012517,0.013536,0.011270,0.012852,0.012852,12255281
2021-01-08,0.012858,0.014061,0.011609,0.012429,0.012429,12755014
2021-01-09,0.012429,0.012738,0.010969,0.012190,0.012190,11807181
2021-01-10,0.012190,0.012340,0.011235,0.011559,0.011559,12538718
2021-01-11,0.011556,0.011556,0.008761,0.010428,0.010428,12020848
2021-01-12,0.010434,0.012175,0.009964,0.010099,0.010099,10358200
2021-01-13,0.010098,0.011010,0.009626,0.010383,0.010383,10681592
2021-01-14,0.010379,0.011019,0.010130,0.010623,0.010623,9236250
2021-01-15,0.010623,0.011500,0.009158,0.010089,0.010089,10532659
2021-01-16,0.010104,0.010376,0.008842,0.008953,0.008953,9639870
2021-01-17,0.008951,0.009454,0.007978,0.008233,0.008233,9095176
2021-01-18,0.008235,0.009914,0.007619,0.008747,0.008747,8726557
2021-01-19,0.008737,0.009808,0.008228,0.008710,0.008710,7331241
2021-01-20,0.008695,0.009682,0.007848,0.009016,0.009016,7383939
2021-01-21,0.009014,0.009047,0.007564,0.007724,0.007724,6232417
2021-01-22,0.007725,0.008220,0.006956,0.007818,0.007818,5858347
2021-01-23,0.007828,0.008179,0.007518,0.007991,0.007991,5022185
2021-01-24,0.007991,0.008436,0.007924,0.008402,0.008402,5379786
2021-01-25,0.008398,0.008727,0.007657,0.007716,0.007716,5163476
2021-01-26,0.007720,0.008001,0.007424,0.007869,0.007869,4902005
2021-01-27,0.007866,0.008124,0.007479,0.007711,0.007711,5058536
2021-01-28,0.007721,0.008199,0.007644,0.007954,0.007954,5780789
2021-01-29,0.008140,0.008530,0.007714,0.007958,0.007958,5465087
2021-01-30,0.007969,0.008136,0.007657,0.007836,0.007836,4804702
2021-01-31,0.007830,0.008010,0.006971,0.007294,0.007294,5131551
2021-02-01,0.007290,0.007946,0.006803,0.006911,0.006911,4105236
2021-02-02,0.006911,0.007729,0.006863,0.007653,0.007653,4496745
2021-02-03,0.007651,0.010168,0.007431,0.009881,0.009881,7308912
2021-02-04,0.009884,0.010284,0.008602,0.009099,0.009099,6818794
2021-02-05,0.009099,0.010505,0.009066,0.009755,0.009755,6848969
2021-02-06,0.009759,0.010463,0.009245,0.009810,0.009810,6413859
2021-02-07,0.009809,0.010322,0.009521,0.010112,0.010112,5011950
2021-02-08,0.010112,0.010891,0.009778,0.010638,0.010638,7579415
2021-02-09,0.010637,0.012858,0.010414,0.012007,0.012007,8397392
2021-02-10,0.012006,0.013902,0.011614,0.013028,0.013028,9620593
2021-02-11,0.013035,0.013055,0.011683,0.012585,0.012585,8924076
2021-02-12,0.012600,0.012961,0.012086,0.012591,0.012591,7943404
2021-02-13,0.012586,0.012777,0.010926,0.011409,0.011409,6850265
2021-02-14,0.011408,0.011532,0.009877,0.010864,0.010864,8560581
2021-02-15,0.010862,0.011060,0.009860,0.010085,0.010085,7366875
2021-02-16,0.010084,0.010705,0.009986,0.010416,0.010416,2884465
2021-02-17,0.010415,0.011384,0.010204,0.010655,0.010655,3753820
2021-02-18,0.010655,0.011061,0.009254,0.009994,0.009994,4344124
2021-02-19,0.009991,0.010250,0.008433,0.009352,0.009352,3969596
2021-02-20,0.009358,0.010317,0.008603,0.009110,0.009110,3725423
2021-02-21,0.009107,0.009377,0.008499,0.009140,0.009140,1032921
2021-02-22,0.009141,0.009220,0.007994,0.008446,0.008446,3316883
2021-02-23,0.008447,0.008466,0.007190,0.008111,0.008111,749525
2021-02-24,0.008125,0.008449,0.007715,0.008368,0.008368,2028323
2021-02-25,0.008375,0.008589,0.007490,0.008354,0.008354,994059
2021-02-26,0.008333,0.008491,0.007773,0.008052,0.008052,2408377
2021-02-27,0.008061,0.009635,0.007993,0.009388,0.009388,4209123
2021-02-28,0.009374,0.009380,0.007633,0.008315,0.008315,3812073
